Area_name,fips,n_courses
"Aitkin County, MN",27001,3
"Anoka County, MN",27003,13
"Becker County, MN",27005,6
"Beltrami County, MN",27007,2
"Benton County, MN",27009,4
"Blue Earth County, MN",27013,4
"Brown County, MN",27015,6
"Carlton County, MN",27017,3
"Carver County, MN",27019,6
"Cass County, MN",27021,2
"Chippewa County, MN",27023,1
"Chisago County, MN",27025,4
"Clay County, MN",27027,4
"Clearwater County, MN",27029,1
"Cook County, MN",27031,2
"Cottonwood County, MN",27033,2
"Crow Wing County, MN",27035,9
"Dakota County, MN",27037,13
"Dodge County, MN",27039,1
"Douglas County, MN",27041,2
"Faribault County, MN",27043,2
"Fillmore County, MN",27045,2
"Freeborn County, MN",27047,4
"Goodhue County, MN",27049,6
"Grant County, MN",27051,2
"Hennepin County, MN",27053,33
"Houston County, MN",27055,2
"Hubbard County, MN",27057,2
"Isanti County, MN",27059,4
"Itasca County, MN",27061,4
"Jackson County, MN",27063,1
"Kanabec County, MN",27065,2
"Kandiyohi County, MN",27067,5
"Kittson County, MN",27069,1
"Koochiching County, MN",27071,2
"Lac qui Parle County, MN",27073,2
"Lake County, MN",27075,2
"Le Sueur County, MN",27079,3
"Lyon County, MN",27083,4
"Marshall County, MN",27089,1
"Martin County, MN",27091,4
"McLeod County, MN",27085,5
"Meeker County, MN",27093,2
"Mille Lacs County, MN",27095,2
"Morrison County, MN",27097,5
"Mower County, MN",27099,3
"Murray County, MN",27101,3
"Nicollet County, MN",27103,3
"Nobles County, MN",27105,3
"Norman County, MN",27107,1
"Olmsted County, MN",27109,10
"Otter Tail County, MN",27111,7
"Pennington County, MN",27113,2
"Pine County, MN",27115,1
"Pipestone County, MN",27117,2
"Polk County, MN",27119,3
"Pope County, MN",27121,1
"Ramsey County, MN",27123,6
"Redwood County, MN",27127,3
"Renville County, MN",27129,3
"Rice County, MN",27131,5
"Rock County, MN",27133,1
"Roseau County, MN",27135,1
"Scott County, MN",27139,4
"Sherburne County, MN",27141,6
"Sibley County, MN",27143,1
"St. Louis County, MN",27137,22
"Stearns County, MN",27145,12
"Steele County, MN",27147,3
"Stevens County, MN",27149,1
"Swift County, MN",27151,1
"Todd County, MN",27153,5
"Wabasha County, MN",27157,3
"Wadena County, MN",27159,3
"Washington County, MN",27163,7
"Watonwan County, MN",27165,2
"Wilkin County, MN",27167,2
"Winona County, MN",27169,5
"Wright County, MN",27171,10
"Yellow Medicine County, MN",27173,3
