State,region,holeCount,rating,PopDensity,avg_income,MedianHHIncome,n_courses
AL,southeast,15.438016528925619,3.6739130434782608,244.3484876033055,60129.95584537189,57095.09090909091,121
AR,southeast,13.98165137614679,3.789473684210526,177.18435779816502,55399.12342174316,53137.00917431193,109
AZ,southwest,13.887323943661972,3.41025641025641,174.8005070422534,63961.72707859154,59765.08450704225,71
CA,west,14.235880398671096,3.288235294117647,578.9615116279067,75782.19171255811,75075.16943521595,301
CO,west,13.90643274853801,3.2988505747126435,220.4052923976603,80631.0574894152,76281.45614035087,171
CT,northeast,14.933333333333334,3.611111111111111,895.8951666666663,109678.58234033335,79112.3,30
DE,southeast,16.76923076923077,3.0,906.2947692307691,71301.19782846155,71187.07692307692,13
FL,southeast,14.391812865497077,3.5825242718446604,809.865269005847,71773.61742485377,61362.9649122807,171
GA,southeast,14.875,3.582089552238806,560.374132352941,63238.42087279408,63070.93382352941,136
HI,west,12.0,,142.297,59339.984135,80763.0,2
IA,midwest,11.69718309859155,3.221052631578947,121.85360563380262,66171.83213123238,62554.380281690144,284
ID,west,12.908163265306122,3.35,117.33276530612248,65446.35946989793,60447.4081632653,98
IL,midwest,12.665454545454546,3.0689655172413794,982.1880836363637,77294.28420152725,70817.70909090909,275
IN,midwest,14.94943820224719,3.527027027027027,419.87701123595537,61732.06701269662,62931.69662921348,178
KS,midwest,12.22007722007722,3.3703703703703702,183.58125868725838,60011.646781158306,59956.11969111969,259
KY,southeast,15.29203539823009,3.3384615384615386,278.4253716814161,54779.9213079646,55412.23008849558,113
LA,southeast,15.333333333333334,3.3157894736842106,412.63138888888903,62882.74593685187,50679.7037037037,54
MA,northeast,15.203389830508474,3.5294117647058822,1067.1181016949151,89680.21604491526,80944.79661016949,59
MD,southeast,14.818181818181818,3.2857142857142856,676.4792954545456,81983.74816659093,90653.61363636363,44
ME,northeast,16.14864864864865,3.46875,149.71667567567582,59570.185712973,58618.33783783784,74
MI,midwest,15.275862068965518,3.7247706422018347,452.01500689655114,65454.16296744828,61805.69310344828,290
MN,midwest,11.237341772151899,3.0762711864406778,439.207857594937,69839.97786750007,72014.0664556962,316
MO,midwest,13.70807453416149,3.843137254901961,225.76944720496905,54144.897421117996,55981.565217391304,161
MS,southeast,15.448275862068966,3.4,131.88389655172412,52077.35506528736,49174.64367816092,87
MT,west,14.482758620689655,3.55,24.19617241379311,67079.9777524138,57470.775862068964,58
NC,southeast,14.739926739926739,3.364341085271318,507.83573260073206,64588.38651985349,60847.23443223443,273
ND,midwest,11.086206896551724,3.8333333333333335,34.704844827586214,72672.76381017239,63442.620689655174,58
NE,midwest,10.752293577981652,2.9074074074074074,113.09310091743127,61043.13226293577,61275.119266055044,109
NH,northeast,15.78125,3.6470588235294117,208.08565625000006,83744.9147728125,75122.3125,32
NJ,northeast,13.846153846153847,3.375,1395.375666666667,107331.18881128207,92584.0,39
NM,southwest,14.869565217391305,3.125,104.49839130434779,60360.620648695665,54173.34782608696,46
NV,west,14.774193548387096,3.7222222222222223,131.60770967741934,95759.42226741937,66563.06451612903,31
NY,northeast,14.738805970149254,3.1132075471698113,436.18297761194043,70591.552985597,63777.32835820896,134
OH,midwest,13.792307692307693,3.062937062937063,639.9531038461524,62465.2037121154,62952.03846153846,260
OK,southwest,13.196319018404909,3.1320754716981134,323.7451963190184,56968.69166883438,52784.41104294478,163
OR,west,13.475524475524475,3.2933333333333334,277.1932657342659,65523.28415286717,64906.82517482517,143
PA,northeast,14.069651741293532,3.382978723404255,506.6697512437815,72527.71552820895,66292.99004975124,201
RI,northeast,9.0,4.0,1549.525,40272.99465,67752.0,1
SC,southeast,13.770491803278688,3.274193548387097,312.5695901639345,63733.53851524587,59983.12295081967,122
SD,midwest,11.391891891891891,3.2666666666666666,48.07322972972972,64898.89693175672,59200.98648648649,74
TN,southeast,14.116883116883116,3.419753086419753,377.5652337662338,61670.523247532474,56922.11688311688,154
TX,southwest,13.89655172413793,3.398936170212766,804.8183124999986,73725.58836663782,66374.2650862069,464
UT,west,13.472222222222221,3.4634146341463414,383.1831805555558,70736.78126055558,75194.01388888889,72
VA,southeast,14.938144329896907,3.4761904761904763,514.4406185567013,74213.88215092785,79351.86597938144,97
VT,northeast,15.928571428571429,3.7,88.12073809523811,67338.93961809523,64510.119047619046,42
WA,west,13.5748031496063,3.3275862068965516,343.3162283464569,76584.03843039366,73786.48031496063,127
WI,midwest,12.374213836477987,3.5371900826446283,170.02736163521985,64950.828278836474,65066.660377358494,318
WV,southeast,15.4375,3.5454545454545454,144.35370312499995,57620.27252171874,48346.90625,64
WY,west,13.18918918918919,3.1818181818181817,13.352162162162168,81019.31613216217,66515.97297297297,37
